               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084539,            0.026692,                   0,             0.52398,             0.66667,             0.59261,             0.19911,             0.05649,             0.01263,                   0,            0.070169,           0.0033145,           0.0033145
                   1,            0.055698,            0.019218,                   0,             0.79264,             0.82404,             0.84302,             0.27286,            0.053376,           0.0093123,                   0,            0.040126,            0.006604,            0.006604
                   2,            0.049667,            0.016625,                   0,             0.78547,             0.80616,             0.87358,             0.43211,            0.036665,           0.0086597,                   0,            0.010038,           0.0098494,           0.0098494
                   3,            0.042874,            0.014964,                   0,             0.93546,             0.94535,             0.96896,             0.53834,            0.031615,           0.0078815,                   0,            0.009802,            0.009802,            0.009802
                   4,             0.03781,            0.014217,                   0,             0.96959,             0.94565,             0.97869,             0.59333,            0.028902,           0.0076948,                   0,            0.009802,            0.009802,            0.009802
                   5,               0.035,            0.013395,                   0,             0.96486,             0.95833,             0.98269,             0.51081,             0.03388,           0.0075896,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.032833,            0.013037,                   0,             0.96825,             0.94928,             0.97526,             0.54054,            0.033282,            0.007479,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.030442,            0.012759,                   0,             0.95541,             0.96377,             0.98048,             0.50648,            0.033745,            0.007392,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.029913,            0.012946,                   0,             0.97207,             0.94565,             0.97963,             0.56648,            0.031301,           0.0073512,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.029178,             0.01265,                   0,             0.97373,              0.9529,             0.98046,             0.64663,            0.026251,           0.0071289,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.027939,            0.012429,                   0,             0.96734,             0.96577,             0.97981,             0.60972,            0.027188,           0.0071744,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.027251,            0.012051,                   0,             0.97111,             0.97424,             0.98739,             0.63675,            0.026492,           0.0071178,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.026375,            0.011871,                   0,             0.96415,             0.97645,             0.99052,             0.64199,             0.02648,           0.0068524,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.026169,            0.011955,                   0,             0.97613,             0.96311,             0.98412,             0.62274,            0.026889,           0.0071339,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.025559,            0.011413,                   0,             0.97509,             0.97283,              0.9906,             0.59747,            0.029099,           0.0071124,                   0,            0.009142,            0.009142,            0.009142
                  15,             0.02502,            0.011461,                   0,             0.97746,             0.97464,             0.98703,             0.66079,              0.0242,           0.0069029,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.024322,            0.010936,                   0,             0.96946,             0.97777,             0.98659,             0.68108,            0.023121,            0.006674,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.024263,            0.011392,                   0,             0.97368,             0.97464,             0.98286,             0.66018,            0.025006,           0.0068771,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.024185,             0.01111,                   0,             0.97929,             0.96739,             0.98779,             0.66964,            0.024251,           0.0069449,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.023258,            0.010982,                   0,             0.97602,             0.98188,             0.98862,             0.69175,            0.022532,           0.0065722,                   0,            0.008812,            0.008812,            0.008812
                  20,             0.02346,            0.010862,                   0,             0.97228,             0.97464,             0.99025,             0.69449,            0.022257,           0.0065543,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.023324,            0.010941,                   0,              0.9764,             0.97445,             0.98829,             0.68544,            0.022837,           0.0066107,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.023182,            0.010963,                   0,             0.98007,             0.97981,             0.98898,             0.65513,            0.025243,            0.006589,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.022313,              0.0106,                   0,             0.97589,             0.97826,             0.98675,             0.68483,            0.023871,           0.0066687,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.022165,            0.010417,                   0,             0.97989,             0.97117,             0.98731,             0.68743,            0.022759,           0.0064951,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.022059,            0.010723,                   0,             0.97455,             0.97826,             0.98546,             0.69774,            0.022527,           0.0066322,                   0,            0.008416,            0.008416,            0.008416
                  26,               0.022,            0.010296,                   0,             0.98357,             0.97615,             0.99012,             0.71793,            0.021848,           0.0064864,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.022032,            0.010377,                   0,             0.97838,             0.98368,              0.9887,             0.71087,             0.02155,           0.0064208,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.021647,            0.010401,                   0,             0.98713,             0.97239,             0.98953,             0.68937,            0.022957,           0.0068356,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.021412,            0.010164,                   0,             0.97825,             0.97767,             0.98506,             0.70348,            0.022195,           0.0067988,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.021603,            0.010408,                   0,             0.97463,             0.97464,             0.98623,             0.70512,            0.021495,           0.0065935,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.020902,            0.010349,                   0,             0.98304,             0.97283,             0.98704,             0.70644,            0.022106,           0.0065573,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.020838,            0.010051,                   0,             0.97814,             0.97293,             0.98735,             0.71847,            0.021331,            0.006599,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.020977,           0.0099606,                   0,             0.98718,             0.97645,             0.99017,             0.71381,            0.021117,           0.0065211,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.020481,            0.010037,                   0,             0.97362,             0.98188,             0.98943,             0.72946,            0.020606,           0.0064061,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.020553,           0.0098625,                   0,             0.98181,             0.97804,             0.98772,             0.71675,            0.021333,              0.0064,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.020492,           0.0098506,                   0,              0.9871,             0.97029,             0.98876,             0.71354,            0.021319,           0.0064433,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.020403,           0.0099149,                   0,             0.96952,              0.9797,             0.98836,             0.71125,            0.021154,           0.0064777,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.020493,           0.0099735,                   0,              0.9761,             0.98007,             0.98953,             0.71482,            0.021406,           0.0064485,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.019679,           0.0097779,                   0,             0.97479,             0.98054,             0.98951,              0.7064,            0.022215,           0.0065441,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.019681,           0.0096097,                   0,              0.9782,             0.97542,             0.98623,             0.69367,            0.022896,           0.0066385,                   0,            0.007426,            0.007426,            0.007426
